Guid,Name,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,Website,Industry,AnnualRevenue,NumberOfEmployees,Description,Jigsaw,AccountSource,SicDesc,SBQQ__AssetQuantitiesCombined__c,SBQQ__CoTermedContractsCombined__c,SBQQ__ContractCoTermination__c,SBQQ__IgnoreParentContractedPrices__c,SBQQ__PreserveBundle__c,SBQQ__PriceHoldEnd__c,SBQQ__RenewalModel__c,SBQQ__RenewalPricingMethod__c,SBQQ__TaxExempt__c,SBQQ__CoTerminationEvent__c
3e463b36-d8e5-40de-b686-3a1da6b49662,Athena Test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,Contract Based,Same,No,#N/A
1c8133d5-d54e-4588-bd12-5afebead6266,AAA2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,Contract Based,Same,No,#N/A
69f8ab95-8768-4cb2-a0cc-bc1a02f1f878,Acme,Prospect,10 Main Rd.,New York,NY,31349,USA,#N/A,#N/A,#N/A,10 Main Rd.,New York,NY,31349,USA,#N/A,#N/A,#N/A,(212) 555-5555,(212) 555-5555,#N/A,Manufacturing,1.0E8,680,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,false,true,#N/A,Contract Based,#N/A,#N/A,#N/A
b30d8ab8-575f-4723-94fd-771f061eb33a,Sample Account for Entitlements,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,false,true,#N/A,Contract Based,#N/A,#N/A,#N/A
3b7ac96a-1968-48f1-86d9-0f8686660e61,A 2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,Contract Based,Same,No,#N/A
9eb50b23-932a-4889-a962-e25ea1ea259e,A 5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,Contract Based,Same,No,#N/A
32b43166-a69a-41f3-99b9-cecc4d57a0fb,Test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,Contract Based,Same,No,#N/A
cabb8a24-ee29-46a7-8709-cf8d41d3a5e2,A 3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,Contract Based,Same,No,#N/A
d08636c2-08b4-44d5-936c-8b88f271e6fd,A 4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,Contract Based,Same,No,#N/A
185896c6-1e28-48ea-b113-6b3d2a395cfd,Global Media,Prospect,150 Chestnut Street,Toronto,Ontario,L4B 1Y3,Canada,#N/A,#N/A,#N/A,150 Chestnut Street,Toronto,Ontario,L4B 1Y3,Canada,#N/A,#N/A,#N/A,(905) 555-1212,#N/A,#N/A,Media,#N/A,14668,"GBM is the worldwide leader in technology news and information on the Web and the producer of the longest-running and farthest-reaching television shows about technology. GBM's network of sites combines breakthrough interactive technology with engaging content and design and is consistently ranked as the Internet's leading content network in terms of both audience size and revenue, serving millions of users each day. The company's television programming is broadcast by the USA Network and the Sci-Fi Channel to more than 70 million households and is syndicated to broadcast television stations in the nation's top 120 markets, including the top 10 markets.",#N/A,#N/A,#N/A,false,false,#N/A,false,true,#N/A,Contract Based,#N/A,#N/A,#N/A
d01de2dd-4d49-4d9e-a274-c5f98eac2a62,Account asnaf 1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,Contract Based,Same,No,#N/A
e65ea6bb-f5d9-4097-bde3-389141eef511,A 1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,Contract Based,Same,No,#N/A
